0.41732	1.520817358
0.48642	1.467008159
0.5642	1.488888723
0.65902	1.490668121
0.7696	1.353951035
0.89914	1.355871177
1.038	1.30438927
1.2285	1.235022904
1.4215	1.250416708
1.663	1.044893717
1.9292	0.9697216876
2.258	0.8796208103
2.6311	0.6612675545
3.0656	0.4622815891
3.5737	0.2919048513
4.1677	0
4.857	-0.3051743104
5.6863	-0.44302815
6.614	-0.698157392
7.7302	-0.8159806882
8.9597	-0.9457636507
10.467	-1.05225761
12.205	-1.104282384
14.248	-1.163796715
16.618	-1.211202092
19.315	-1.262141132
22.566	-1.361149053
26.318	-1.355959141
30.683	-1.426623613
35.754	-1.392823846
38.891	-1.270668671
