0.41732	19.99175343
0.48642	9.600388705
0.5642	12.18156397
0.65902	12.45327909
0.7696	4.539073356
0.89914	4.580919297
1.038	3.664428936
1.2285	2.865423923
1.4215	3.013765981
1.663	1.722872079
1.9292	1.458330567
2.258	1.208730496
2.6311	0.7781379657
3.0656	0.4982936395
3.5737	0.3004884476
4.1677	0
4.857	-0.3150148239
5.6863	-0.4744851117
6.614	-0.8391434123
7.7302	-1.063114942
8.9597	-1.38593583
10.467	-1.752470177
12.205	-1.985749983
14.248	-2.319816033
16.618	-2.660001279
19.315	-3.136316736
22.566	-4.699828485
26.318	-4.582853962
30.683	-6.888000967
35.754	-5.559396416
38.891	-3.231267019
