0.41732	0.1304347826
0.48642	0.1449275362
0.5642	0.1739130435
0.65902	0.2028985507
0.7696	0.231884058
0.89914	0.2753623188
1.038	0.3188405797
1.2285	0.3768115942
1.4215	0.4202898551
1.663	0.5
1.9292	0.5735294118
2.258	0.671641791
2.6311	0.7611940299
3.0656	0.8358208955
3.5737	0.8955223881
4.1677	0.9104477612
4.857	0.8955223881
5.6863	0.8358208955
6.614	0.7462686567
7.7302	0.6567164179
8.9597	0.5820895522
10.467	0.5074626866
12.205	0.4328358209
14.248	0.3731343284
16.618	0.328358209
19.315	0.2835820896
22.566	0.2388059701
26.318	0.2089552239
30.683	0.1791044776
35.754	0.1666666667
38.891	0.1515151515
